Text,Image,Folio
urn:cts:greekLit:tlg5026.msA.hmt:15.1,"urn:cite:hmt:vaimg.VA191RN-0362@0.169,0.1037,0.642,0.0376",urn:cite:hmt:msA.191r
urn:cts:greekLit:tlg5026.msA.hmt:15.2,"urn:cite:hmt:vaimg.VA191RN-0362@0.169,0.1217,0.642,0.0293",urn:cite:hmt:msA.191r
urn:cts:greekLit:tlg5026.msA.hmt:15.3,"urn:cite:hmt:vaimg.VA191RN-0362@0.167,0.1345,0.642,0.0293",urn:cite:hmt:msA.191r
urn:cts:greekLit:tlg5026.msA.hmt:15.4,"urn:cite:hmt:vaimg.VA191RN-0362@0.166,0.1458,0.642,0.0293",urn:cite:hmt:msA.191r
urn:cts:greekLit:tlg5026.msA.hmt:15.5,"urn:cite:hmt:vaimg.VA191RN-0362@0.163,0.1593,0.642,0.0278",urn:cite:hmt:msA.191r
urn:cts:greekLit:tlg5026.msA.hmt:15.6,"urn:cite:hmt:vaimg.VA191RN-0362@0.161,0.1773,0.651,0.0759",urn:cite:hmt:msA.191r
urn:cts:greekLit:tlg5026.msA.hmt:15.7,"urn:cite:hmt:vaimg.VA191RN-0362@0.621,0.2344,0.189,0.133",urn:cite:hmt:msA.191r
urn:cts:greekLit:tlg5026.msA.hmt:15.8,"urn:cite:hmt:vaimg.VA191RN-0362@0.62,0.3599,0.189,0.0458",urn:cite:hmt:msA.191r
urn:cts:greekLit:tlg5026.msA.hmt:15.9,"urn:cite:hmt:vaimg.VA191RN-0362@0.616,0.3937,0.193,0.272",urn:cite:hmt:msA.191r
urn:cts:greekLit:tlg5026.msA.hmt:15.10,"urn:cite:hmt:vaimg.VA191RN-0362@0.616,0.3937,0.193,0.272",urn:cite:hmt:msA.191r
urn:cts:greekLit:tlg5026.msA.hmt:15.11,"urn:cite:hmt:vaimg.VA191RN-0362@0.153,0.6454,0.654,0.1014",urn:cite:hmt:msA.191r
urn:cts:greekLit:tlg5026.msA.hmt:15.12,"urn:cite:hmt:vaimg.VA191RN-0362@0.159,0.728,0.673,0.0285",urn:cite:hmt:msA.191r
urn:cts:greekLit:tlg5026.msA.hmt:15.13,"urn:cite:hmt:vaimg.VA191RN-0362@0.153,0.7393,0.681,0.0285",urn:cite:hmt:msA.191r
urn:cts:greekLit:tlg5026.msA.hmt:15.14,"urn:cite:hmt:vaimg.VA191RN-0362@0.156,0.7491,0.681,0.0301",urn:cite:hmt:msA.191r
urn:cts:greekLit:tlg5026.msA.hmt:15.15,"urn:cite:hmt:vaimg.VA191RN-0362@0.158,0.7618,0.681,0.0285",urn:cite:hmt:msA.191r
urn:cts:greekLit:tlg5026.msA.hmt:15.16,"urn:cite:hmt:vaimg.VA191RN-0362@0.153,0.7739,0.66,0.0992",urn:cite:hmt:msA.191r
urn:cts:greekLit:tlg5026.msA.hmt:15.17,"urn:cite:hmt:vaimg.VA191RN-0362@0.158,0.8527,0.66,0.0338",urn:cite:hmt:msA.191r
