Text,Image,Folio
urn:cts:greekLit:tlg5026.msAint.hmt:15.1,"urn:cite:hmt:vaimg.VA191RN-0362@0.106,0.4072,0.074,0.0473",urn:cite:hmt:msA.191r
urn:cts:greekLit:tlg5026.msAint.hmt:15.2,"urn:cite:hmt:vaimg.VA191RN-0362@0.11,0.5192,0.074,0.0233",urn:cite:hmt:msA.191r
urn:cts:greekLit:tlg5026.msAint.hmt:15.3,"urn:cite:hmt:vaimg.VA191RN-0362@0.109,0.5394,0.074,0.0278",urn:cite:hmt:msA.191r
urn:cts:greekLit:tlg5026.msAint.hmt:15.4,"urn:cite:hmt:vaimg.VA191RN-0362@0.103,0.5943,0.074,0.0278",urn:cite:hmt:msA.191r
urn:cts:greekLit:tlg5026.msAint.hmt:15.5,"urn:cite:hmt:vaimg.VA191RN-0362@0.11,0.6349,0.08,0.0586",urn:cite:hmt:msA.191r
urn:cts:greekLit:tlg5026.msAint.hmt:15.6,"urn:cite:hmt:vaimg.VA191RN-0362@0.162,0.6829,0.247,0.0316",urn:cite:hmt:msA.191r
urn:cts:greekLit:tlg5026.msAint.hmt:15.7,"urn:cite:hmt:vaimg.VA192RN-0363@0.113,0.2524,0.072,0.0361",urn:cite:hmt:msA.191r
urn:cts:greekLit:tlg5026.msAint.hmt:15.8,"urn:cite:hmt:vaimg.VA192RN-0363@0.123,0.3043,0.072,0.0361",urn:cite:hmt:msA.191r
urn:cts:greekLit:tlg5026.msAint.hmt:15.9,"urn:cite:hmt:vaimg.VA192RN-0363@0.116,0.4508,0.075,0.0248",urn:cite:hmt:msA.191r
urn:cts:greekLit:tlg5026.msAint.hmt:15.10,"urn:cite:hmt:vaimg.VA192RN-0363@0.106,0.5838,0.075,0.0503",urn:cite:hmt:msA.191r
